doi,title,authors,journal,year,start_sampling_year,end_sampling_year,sampling_duration,sampling_site,sampling_latitude,sampling_longitude,sampling_city,sampling_region,sampling_country,sampling_continent,island,min_ias_abundance,max_ias_abundance,avg_ias_abundance,ias_abundance_unit,study_area,area_km2,ind_per_km2,experimental,habitat,kingdom,phylum,class,Group_for_score,species,doi_clean
10.1007/s10344-013-0689-8,Do American mink kill European mink? Cautionary message for future recovery efforts,Madis PÃƒÂµdra; AsunciÃƒÂ³n GÃƒÂ³mez; Santiago PalazÃƒÂ³n,European Journal of Wildlife Research,2013,2008,2010,2,Salburua wetland,42.85581563,-2.646106682,Vitoria-Gasteiz,"ÃƒÂlava, Basque Country",Spain,Europe,no,3,3,3,N,200,2,1.5,,Freshwater,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1007/s10344-013-0689-8
10.1007/s10344-013-0689-8,Do American mink kill European mink? Cautionary message for future recovery efforts,Madis PÃƒÂµdra; AsunciÃƒÂ³n GÃƒÂ³mez; Santiago PalazÃƒÂ³n,European Journal of Wildlife Research,2013,2008,2010,2,Zadorra River (near Salburua),42.6675,-2.899722,Vitoria-Gasteiz,"ÃƒÂlava, Basque Country",Spain,Europe,no,2,2,2,N,200,2,1,,Freshwater,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1007/s10344-013-0689-8
10.1007/s10530-016-1205-3,Behavioural plasticity in nest-site selection of a colonial seabird in response to an invasive carnivore,ÃƒÂlvaro Barros; Rafael Romero; Ignacio Munilla; Cristobal PÃƒÂ©rez; Alberto Velando,Biological Invasions,2016,2009,2013,4,Illas Cíes,42.22586821,-8.905352659,Vigo,Galicia,Spain,Europe,yes,47,47,47,N,433,4.33,10.85450346,,Marine,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1007/s10530-016-1205-3
10.1007/s10531-012-0410-3,The impact of river fragmentation on the population persistence of native and alien mink: an ecological trap for the endangered European mink,IÃƒÂ±igo Zuberogoitia; Hanna Zalewska; Jabi Zabala; Andrzej Zalewski,Biodiversity and Conservation,2012,2007,2011,4,Ibaizabal River catchment,43.13358443,-2.585172213,,"Biscay, Basque Country",Spain,Europe,no,120,120,120,N,2236,2236,0.053667263,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1007/s10531-012-0410-3
10.1016/0006-3207(90)90031-j,The Impact of Feral Mink Mustela vison on Water Voles Arvicola terrestris in the North Yorkshire Moors National Park,Gordon Woodroffe; John Lawton; Walter Davidson,,,1985,1986,1,"Rivers Esk, Dove, Seven, Seph and Rye",52.81662607,-1.583178692,,North Yorkshire Moors National Park,United Kingdom,Europe,yes,111.2,111.2,111.2,tracks m^-1 month^-1,,,,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1016/0006-3207(90)90031-j
10.1016/j.biocon.2011.11.012,Numerical and behavioral responses of waterfowl to the invasive American mink: A conservation paradox,Marcin BrzeziÃ…â€žski; Magdalena Natorff; Andrzej Zalewski; MichaÃ…â€š Ã…Â»mihorski,Biological Conservation,2012,1995,2000,5,"Mazurian Lakeland, Tuchlin, Łuknajno, Majcz Wielki, Inulec and Kociołek",53.89153959,21.719433,,"Mazurian Lakeland, NE Poland",Poland,Europe,no,114,114,114,N,,12.44,9.163987138,,Freshwater,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1016/j.biocon.2011.11.012
10.1016/j.biocon.2011.11.012,Non-native predator control increases the nesting success of birds: American mink preying on wader nests,Agnieszka Niemczynowicz; Piotr Ã…Å¡wiÃ„â„¢tochowski; Marcin BrzeziÃ…â€žski; Andrzej Zalewski,Biological Conservation,2017,2009,2015,6,Biebrza and Narew National Parks,53.32063415,22.63207645,,north-eastern Poland,Poland,Europe,no,592,592,592,N,,665.73,0.889249395,Flagged,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1016/j.biocon.2017.05.032
10.1016/s0006-3207(02)00162-3,"Effects of feral mink removal on seabirds, waders and passerines on small islands in the Baltic Sea",Mikael NordstroÃ‚Â¨m; Jouko HoÃ‚Â¨gmander; Jarmo Laine; Jukka Nummelin; Nikolaj Laanetu; Erkki KorpimaÃ‚Â¨ki,,,1993,2001,8,"R1, Archipelago National Park, Finland",60.17867431,21.78481373,,Southwestern Finland,Finland,Europe,yes,98,98,98,N,72,1.15,85.2173913,Flagged,Marine,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1016/s0006-3207(02)00162-3
10.1016/s0006-3207(02)00162-3,"Effects of feral mink removal on seabirds, waders and passerines on small islands in the Baltic Sea",Mikael NordstroÃ‚Â¨m; Jouko HoÃ‚Â¨gmander; Jarmo Laine; Jukka Nummelin; Nikolaj Laanetu; Erkki KorpimaÃ‚Â¨ki,,,1998,2001,3,"R2, Archipelago National Park, Finland",60.14290582,21.60389088,,Southwestern Finland,Finland,Europe,yes,50,50,50,N,125,1.08,46.2962963,Flagged,Marine,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1016/s0006-3207(02)00162-3
10.1017/s0959270912000019,A new threat for the globally Endangered Hooded Grebe<i>Podiceps gallardoi</i>: the American mink<i>Neovison vison</i>.,IGNACIO ROESLER; SANTIAGO IMBERTI; HERNÃƒÂN CASAÃƒâ€˜AS; NOELIA VOLPE,Bird Conservation International,2012,2010,2011,1,El Cervecero Lake,-47.15001297,-70.94321182,,"Santa Cruz Province, Argentinean Patagonia",Argentina,South America,no,1,2,1.5,N,9,0.09,16.66666667,,Freshwater,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1017/s0959270912000019
10.1046/j.1365-2664.1999.00431.x,The impact of American mink <i>Mustela vison</i> on water birds in the upper Thames,P Ferreras; D Macdonald,Journal of Applied Ecology,1999,1996,1996,0,Upper Thames River between Lechlade and Northmoor Lock,51.7,-1.542,,Oxfordshire;Gloucestershire,United Kingdom,Europe,yes,6,13,9.5,N,,0.30625,31.02040816,,Freshwater,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1046/j.1365-2664.1999.00431.x
10.1111/j.0030-1299.2004.12763.x,Competition between Eurasian otter<i>Lutra lutra</i>and American mink<i>Mustela vison</i>probed by niche shift,Laura Bonesi; Paul Chanin; David W. Macdonald,Oikos,2004,1972,2000,3,River Teign,50.62444924,-3.638645019,,Devon,United Kingdom,Europe,yes,0.044,0.094,0.069,ind/km2,,0.15,0.069,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1111/j.0030-1299.2004.12763.x
10.1111/j.1095-8649.1988.tb05536.x,"Effect of mink, <i>Mustela vison</i> Schreber, predation on cohorts of juvenile Atlantic salmon, <i>Salmo salar</i> L., and brown trout, <i>S. trutta</i> L., in three small streams",J. Heggenes; R. BorgstrÃƒÂ¸m,Journal of Fish Biology,1988,1985,1986,1,"Bolstadbekken (inlet stream to Lake Ãƒâ€¦rungen), Locality 1",59.68943332,10.78338779,,Viken,Norway,Europe,no,3,4,3.5,N,,,,Flagged,Freshwater,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1111/j.1095-8649.1988.tb05536.x
10.1111/j.1095-8649.1988.tb05536.x,"Effect of mink, <i>Mustela vison</i> Schreber, predation on cohorts of juvenile Atlantic salmon, <i>Salmo salar</i> L., and brown trout, <i>S. trutta</i> L., in three small streams",J. Heggenes; R. BorgstrÃƒÂ¸m,Journal of Fish Biology,1988,1986,1986,1,"Abbortjernbekken, Locality 3",59.991733,10.566753,,Norway,Norway,Europe,no,1,4,2.5,N,,0.020392,122.5970969,Flagged,Freshwater,Animalia,Chordata,Mammalia,Vertebrates,Mustela vison,10.1111/j.1095-8649.1988.tb05536.x
