selected_variables.Longitude,selected_variables.Latitude
-123.396225,48.917512
-123.572176,49.013215
-123.445036,48.901244
-125.183906,49.925361
-111.720691,41.752605
-117.070989,43.730472
-135.24315000000001,57.019553
-135.305986,57.05777
-121.605367,38.544384
-120.918318,47.18496
-114.094615,46.538256
-123.263044,49.205384
-123.306322,48.397321
-123.545617,48.318677
-121.598323,38.729966
-122.762448,41.307162
-107.774532,50.303428
-122.533172,38.986683
-124.08784,41.277036
-114.048614,51.130664
-121.724328,39.16662
-122.843108,39.121318
-111.944683,41.716361
-122.246187,46.895495
-124.630122,49.790611
-122.935364,49.243374
-122.84153,38.451353
-119.634182,45.92112
-120.802565,37.175018
-113.793224,52.29171
-111.834482,40.814228
-123.137048,49.270161
-135.204095,57.049156
-122.060944,47.277052
-123.600346,42.621933
-116.553658,43.535302
-120.482133,46.870586
-123.955405,40.820808
-121.539178,39.225922
-123.56665,48.372797
-123.466207,48.476175
-122.998955,44.028439
-123.857545,49.017367
-114.414153,50.006581
-123.447297,43.269825
-124.087464,44.39265
-112.046663,43.491026
-122.652638,54.446916
-125.11627,49.87168
-117.420897,47.781284
-110.672692,43.713353
-128.03436,52.918442
-122.784522,39.065649
-124.17688,43.428937
-123.66567,61.149858
-113.749691,37.274739
-122.252238,46.295647
-135.650711,57.012395
-149.493673,64.200841
-121.678453,38.647378
-116.686829,43.68164
-161.4776,59.135728
-123.638054,48.31778
-145.86515,62.357789
-111.825942,40.766957
-118.394479,46.186845
-124.074862,41.294172
-122.723418,46.788703
-131.830217,55.447678
-123.96325,45.4955
-117.349596,46.604938
-123.290405,48.471183
-112.846764,49.671053
-113.7901,48.660268
-122.271599,47.368479
-115.508568,44.854185
-122.641962,45.472947
-118.282572,46.076408
-121.966772,37.543814
-121.340837,38.013218
-123.081897,44.769854
-120.866824,39.544562
-122.794234,45.456076
-135.314378,57.034561
-122.449742,49.166672
-113.68459,47.541545
-135.736037,57.148544
-127.017264,50.630864
-135.852783,60.884525
-122.692208,39.020247
-123.375245,48.422897
-121.275693,39.214893000000004
-111.46571900000001,44.327185
-121.45288,38.590437
-111.749513,40.140143
-121.564945,41.911012
-123.35222,43.21798
-125.123591,49.888766
-111.329956,44.649116
-124.17048,43.572487
-124.095469,48.435358
-128.403648,52.271505
-113.376932,46.964791
-124.060041,49.631657
-125.192556,49.996567
-121.445284,44.348431
-125.284438,50.036597
-134.860685,57.135462
-123.567138,48.143602
-123.815722,46.975678
-123.585302,42.562135
-121.408838,38.062978
-121.610914,38.462054
-125.243101,50.032239
-121.628064,38.559753
-114.737778,51.031463
-124.055175,47.059806
-123.927043,45.978969
-125.477434,50.125514
-111.477417,40.471545
-122.975054,49.204677
-122.093724,47.9217
-121.182442,37.949347
-119.22407,38.257117
-123.877111,45.733209
-125.066177,49.624423
-123.784376,40.057821
-125.552918,48.933934
-124.076384,49.709243
-128.070145,51.659534
-122.422861,48.756424
-135.544853,57.172684
-113.347548,62.955946
-111.841309,41.715399
-119.187683,38.03196
-112.942384,49.762129
-136.274101,58.103025
-111.601086,40.08281
-117.475062,47.682679
-127.036627,50.586178
-121.953437,38.099793
-123.41202,43.241244
-114.097581,46.555331
-110.751738,43.700772
-122.756478,48.651997
-123.375245,48.464217
-123.797777,46.196398
-123.035135,44.049487
-114.135503,43.314825
-121.079454,49.205544
-134.260136,57.882632
-124.582229,48.496704
-123.331282,43.290802
-124.996223,49.698754
-122.962407,44.021588
-133.198472,55.203842
-121.024359,38.916243
-121.772916,38.518875
-111.739284,40.269825
-149.824025,61.07762
-135.578842,57.148161
-125.207467,48.840088
-123.578706,48.065911
-123.723897,48.648778
-121.198222,37.621031
-108.262468,39.192708
-121.508435,38.664682
-123.815583,46.191313
-122.043045,47.539394
-123.292378,48.438444
-121.97767,38.156298
-123.422178,48.395386
-111.677729,40.742706
-121.556839,40.977354
-113.730475,47.576378
-122.668258,45.514122
-121.601133,38.562337
-123.166429,49.097305
-111.670671,40.248685
-123.231108,41.297112
-124.046052,44.514608
-123.322583,48.40585
-121.339666,38.793778
-113.547477,62.492358
-109.012829,45.113004
-121.816403,39.321242
-122.977714,49.166523
-121.962903,47.236016
-121.187945,38.741288
-122.71927,39.023153
-121.677808,38.552158
-123.169114,49.390709
-130.62953,53.488603
-106.564222,52.096462
