doi,title,authors,journal,year,start_sampling_year,end_sampling_year,sampling_duration,sampling_site,sampling_latitude,sampling_longitude,sampling_city,sampling_region,sampling_country,sampling_continent,island,min_ias_abundance,max_ias_abundance,avg_ias_abundance,ias_abundance_unit,study_area,area_km2,ind_per_km2,experimental,habitat,kingdom,phylum,class,Group_for_score,species,doi_clean
10.1007/978-4-431-53859-2_23,Eradication and Ecosystem Impacts of Rats in the Ogasawara Islands,Takuma Hashimoto,,2010,2005,2007,2,Nishijima,34.674722,134.519444,Ogasawara Village,Tokyo,Japan,Asia,yes,5,90,47.5,ind/ha,49,0.49,4750,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1007/978-4-431-53859-2_23
10.1007/bf00051961,"The small mammal fauna of R serve Sp ciale d'Analamazaotra, Madagascar: the effects of human disturbance on endemic species diversity",P. J. Stephenson,Biodiversity and Conservation,1993,1988,1990,2,RS Analamazaotra,-18.9361,48.4283,Andasibe,Toamasina Province,Madagascar,Africa,yes,62,62,62,N,810,8.1,7.654320988,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1007/bf00051961
10.1007/s10530-009-9560-y,"Response of mice (Mus musculus) to the removal of black rats (Rattus rattus) in arid forest on Santa Cruz Island, GalÃƒÂ¡pagos",G. A. Harper; L. F. Cabrera,Biological Invasions,2009,2009,2009,1,"Arid coastal forest near Puerto Ayora, southern Santa Cruz Island, GalÃƒÂ¡pagos",-0.75,-90.333,Puerto Ayora,GalÃƒÂ¡pagos Province,Ecuador,South America,yes,4.8,4.8,4.8,ind/ha,,,480,Flagged,Unknown,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1007/s10530-009-9560-y
10.1007/s10530-010-9876-7,Are introduced rats (Rattus rattus) both seed predators and dispersers in Hawaii?,Aaron B. Shiels; Donald R. Drake,Biological Invasions,2010,2007,2009,2,"Kahanahaiki Management Unit, Waianae Mountains, Oahu",21.44173169,-158.1530061,Honolulu,Hawaii,United States of America,North America,yes,51,51,51,N,36,0.36,141.6666667,Flagged,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1007/s10530-010-9876-7
10.1007/s10530-012-0280-3,"Large-scale rodent control reduces pre- and post-dispersal seed predation of the endangered Hawaiian lobeliad, Cyanea superba subsp. superba (Campanulaceae)",Richard J. Pender; Aaron B. Shiels; Lalasia Bialic-Murphy; Stephen M. Mosher,Biological Invasions,2012,2009,2010,1,Kahanahaiki Management Unit,21.533,-158.183,,"Oahu, Hawaii",United States of America,North America,yes,,,9.8,ind/ha,26,0.26,980,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1007/s10530-012-0280-3
10.1007/s10530-016-1340-x,Exotic black rats increase invertebrate Ordinal richness in urban habitat remnants,Helen M. Smith; Chris R. Dickman; Peter B. Banks,Biological Invasions,2017,2011,2012,1,Sydney Harbour National Park urban habitat remnants,-33.83689011,151.2510534,Sydney,New South Wales,Australia,Oceania,no,8.82,12.68,10.75,ind/ha,,,1075,Flagged,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1007/s10530-016-1340-x
10.1007/s10530-016-1340-x,Exotic black rats increase invertebrate Ordinal richness in urban habitat remnants,Helen M. Smith; Chris R. Dickman; Peter B. Banks,Biological Invasions,2017,2011,2012,1,Sydney Harbour National Park urban habitat remnants,-33.851,151.245,Sydney,New South Wales,Australia,Oceania,no,0.94,2.34,1.64,ind/ha,,,164,Flagged,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1007/s10530-016-1340-x
10.1007/s10530-019-02090-x,Limits to alien black rats (Rattus rattus) acting as equivalent pollinators to extinct native small mammals: the influence of stem width on mammal activity at native Banksia ericifolia inflorescences,Rebecca L. OÃ¢â‚¬â„¢Rourke; Jennifer R. Anson; Amelia M. Saul; Peter B. Banks,Biological Invasions,2019,2017,2017,0,"North Head Sanctuary, North Head peninsula",-33.817,151.296,Sydney,New South Wales,Australia,Australia,no,4,10,7,ind/ha,,,700,Flagged,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1007/s10530-019-02090-x
10.1007/s10530-020-02343-0,Impact of introduced nest predators on insular endemic birds: the case of the Azores Woodpigeon (Columba palumbus azorica),Lucas Lamelas-LÃƒÂ³pez; RÃƒÂ©mi Fontaine; Paulo A. V. Borges; David GonÃƒÂ§alves,Biological Invasions,2020,2017,2018,1,Pico Island,38.465833,-28.333333,,Azores,Portugal,Europe,yes,124,124,124,N,,445,0.278651685,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1007/s10530-020-02343-0
10.1007/s10530-020-02343-0,Impact of introduced nest predators on insular endemic birds: the case of the Azores Woodpigeon (Columba palumbus azorica),Lucas Lamelas-LÃƒÂ³pez; RÃƒÂ©mi Fontaine; Paulo A. V. Borges; David GonÃƒÂ§alves,Biological Invasions,2020,2017,2018,1,Terceira Island,38.727778,-27.213333,,Azores,Portugal,Europe,yes,157,157,157,N,,400,0.3925,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1007/s10530-020-02343-0
