selected_variables.Longitude,selected_variables.Latitude
144.567429,-18.205203
158.492588,-8.297315
145.129023,-16.545701
145.223696,-16.558016
145.211799,-16.592909
145.249288,-16.668005
145.184157,-16.584636
145.091504,-16.591523
145.695263,-16.790032
148.742269,-21.155255
141.874237,-12.630175
141.722134,-12.234082
146.820221,-19.25942
145.470277,-17.332064
145.920198,-17.93688
146.667413,-19.387919
145.604296,-17.41747
145.626277,-17.285221
149.007141,-5.526957
143.42305,-18.795867
141.855867,-12.660481
145.764337,-16.906812
148.910413,-21.040399
146.092147,-17.890913
156.839942,-8.101251
146.774329,-19.306903
145.545428,-17.261243
146.796166,-19.277276
145.573044,-16.809479
149.055627,-21.164177
145.973423,-16.758507
145.773809,-16.915581
146.818817,-19.275497
145.521438,-17.411297
146.770827,-19.262128
145.735763,-16.899517
145.466464,-16.086343
145.751316,-16.901793
145.641528,-16.666271
145.884963,-17.43627
145.6716,-16.7538
146.151892,-17.545352
148.585346,-20.402011
148.638442,-21.075144
145.471792,-16.078188
145.928226,-17.931108
149.154281,-21.158076
146.759023,-19.326703
148.536592,-21.074572
145.612045,-16.847493
145.7,-16.9
149.2,-21.3
145.6,-16.8
149.149546,-21.280286
116.235866,-31.821414
116.177299,-31.676887
116.152715,-31.686023
116.171373,-31.665059
116.240123,-31.829688
116.207834,-31.666598
116.197051,-31.665878
116.140742,-31.685691
116.110128,-31.696834
116.143033,-31.676824
116.160875,-31.674691
116.129438,-31.682593
116.120149,-31.689355
116.187357,-31.671699
115.778001,-31.984246
116.879123,-34.7825
118.634167,-20.304722
116.591687,-34.817985
115.256903,-33.657121
115.86611,-31.973634
115.85262,-32.0286
115.783451,-32.009437
115.778235,-32.043326
115.539455,-31.990799
116.018105,-31.751723
116.030921,-34.247328
115.273322,-33.659042
116.038102,-31.808082
115.110174,-34.070714
113.77592,-25.14159
115.989594,-31.988608
115.946693,-32.046788
116.021712,-31.984858
116.066153,-31.885584
115.860333,-32.091811
117.896456,-34.934058
115.91483,-31.975128
115.845263,-32.074333
115.882884,-31.924836
117.914995,-35.009911
114.169,-27.7086
115.843721,-31.962003
116.44556,-31.575183
115.909252,-32.004832
116.076142,-31.921897
115.805877,-31.948786
117.560722,-33.684093
117.797418,-34.853427
115.740384,-32.056674
116.02655,-31.963366
115.903663,-32.095097
115.81302,-32.024617
115.921837,-32.129363
115.893979,-32.171829
116.184471,-32.111234
115.828331,-31.888881
116.16199400000001,-31.911259
115.73876,-32.158322
115.646359,-31.923249
115.184647,-33.644501
115.875038,-31.942703
115.859962,-32.165061
115.882578,-32.02569
117.89951,-34.99457
115.860353,-31.956805
116.099496,-32.160522
115.747504,-32.029421
115.819699,-31.981108
115.782945,-32.020683
115.791497,-32.10215
115.028056,-33.877031
115.831453,-31.9714
116.324652,-33.968832
115.062967,-33.953451
96.880275,-12.088495
116.163957,-33.584125
115.712508,-32.281762
115.724546,-32.05393
117.286413,-34.969503
115.426619,-33.630218
117.701426,-34.77443
115.78786,-31.706212
115.900786,-32.028107
105.682542,-10.47607
115.78892,-31.772698
115.759962,-32.064119
115.832599,-32.092571
116.147011,-34.235408
115.612835,-32.128629
115.904331,-31.896256
116.013442,-32.23037
115.756654,-32.00843
117.886108,-35.030705
115.8357,-31.930883
129.136934,-31.660205
115.85614700000001,-32.068669
115.667247,-32.060218
115.782777,-32.119801
115.686312,-32.270655
115.146148,-33.709226
115.819161,-31.745381
115.871161,-32.151035
105.702268,-10.425691
115.838931,-32.2435
115.760372,-31.858028
115.873577,-31.995122
105.668521,-10.432494
96.868978,-12.152447
115.813424,-32.265692
115.73514,-32.278093
115.683456,-32.454815
115.832235,-32.16718
117.353032,-34.96114
116.043699,-31.865291
115.816145,-31.972538
115.860168,-31.904958
105.674683,-10.502086
114.124336,-21.929037
117.3,-35
115.295841,-33.664634
116.434338,-31.49186
115.900657,-31.875694
116.038421,-31.632733
115.8,-32
115.149679,-33.922779
116.072961,-31.905147
115.339436,-20.960179
115.5236,-20.499897
115.517211,-20.369618
115.529989,-20.514064
115.549989,-20.466008
115.544434,-20.522675
115.526933,-20.361563
122.834543,-34.994138
115.329436,-20.90629
117.69567,-35.050574
117.725542,-20.630721
119.098313,-19.587932
115.504433,-20.432119
115.545822,-20.512119
115.564989,-20.393507
113.728935,-28.453033
115.501192,-31.998891
115.328603,-20.960457
115.401102,-20.765456
121.678146,-33.99636
115.492769,-20.744899
115.526378,-20.420453
115.549156,-20.441286
115.477769,-20.725732
115.591378,-20.421841
115.545822,-20.426842
115.327213,-20.735178
115.495546,-20.73601
116.82221,-20.447391
113.786716,-28.713591
115.5236,-20.408508
117.945948,-35.061683
122.013978,-33.95969
101.15437,4.539048
134.391423,-14.016912
134.11208,-14.22166
134.486644,-14.288992
134.109606,-14.232485
134.528923,-14.091476
134.428313,-14.2603
134.13209,-14.24233
134.474873,-14.139921
134.229477,-14.144836
134.438457,-14.060761
134.259416,-14.020729
128.092875,35.983834
127.854276,35.149103
128.689378,35.780356
126.698,33.544389
128.870156,35.265483
126.430764,37.65632
128.593174,35.759455
127.476639,37.478806
127.318893,36.029633
129.035173,36.5341
127.512805,38.060703
128.521234,37.258251
126.282512,34.438845
128.068782,37.661298
129.302714,36.078557000000004
127.909448,35.083264
127.384268,35.147159
127.068453,34.938542
129.25243,36.292598
127.870665,35.171506
127.372139,37.603013
129.318574,36.263925
127.322933,35.763868
127.218537,35.950348
126.919758,38.018849
130.9057,37.546117
127.473638,35.656157
128.478278,35.720132
129.06477,36.350027
128.533524,35.709513
126.689806,33.38
128.214627,36.12424
126.692348,37.895334
127.395472,37.697313
127.641196,38.037338
129.330282,36.27555
128.758522,35.178581
130.807925,37.510917
126.985661,38.096262
127.69816,38.065676
127.361246,35.893349
127.905748,35.067601
127.878463,35.083037
127.14278,37.958152
127.142792,37.862358
127.429506,35.917587
127.835972,35.177277
128.760659,35.716771
128.726919,36.837785
129.179342,36.162208
129.504444,36.018639
126.595881,35.687804
129.144991,36.393661
127.416645,37.459888
126.637854,35.657634
127.409944,37.343861
127.939858,35.097953
127.156807,36.533365
127.05232,34.994347
126.705861,33.338222
127.52465,38.183181
130.864711,37.500655
127.051403,34.888459
129.163983,36.033843
128.722345,35.641304
128.570099,35.790117
126.904258,38.027298
130.879219,37.497883
128.458657,36.774332
108.035253,-7.542323
92.565152,24.692668
103.804304,1.26825
91.790646,24.327419
100.595092,13.720095
123.002466,-16.456444
100.499848,7.010611
114.194274,22.333689
130.833038,-12.456295
119.15104,36.784157
108.142867,-7.651059
92.344815,24.352674
125.524547,7.075799
103.706442,1.318707
119.298803,26.083725
130.839667,-12.462833
101.235887,6.881467
128.223969,26.789147
110.77533,-6.922018
103.806938,1.399853
115.22594,-8.743427
106.732339,-6.581448
129.478396,-14.343227
120.261839,23.620397
101.224622,6.871026
130.983731,-12.481366
120.293428,22.682705
139.680206,35.667063
106.664122,10.784988
106.82235,-6.18493
128.946036,-3.313406
99.86981,19.975334
96.120804,16.795893
103.844575,1.358153
115.558149,-8.764209
123.655,-10.163
96.1605,16.770525
130.881761,-12.372019
107.766955,-6.936093
92.338816,24.425633
100.933615,13.333715
108.222549,-7.350193
112.013403,-7.690034
145.748626,15.094229
96.043411,17.100767
130.711189,-0.417025
121.329793,23.322756
121.295946,23.267328
132.2,-14.5
91.569456,27.443357
133.86564,-23.731691
123.372456,-16.571515
122.017739,-16.882075
122.110516,-16.851797
122.139683,-16.855685
123.189678,-16.40457
101.631629,16.695916
93.261472,26.578861
93.126361,26.56825
91.010594,22.039372
93.158889,26.576083
93.552194,26.633944
101.475096,16.761185
93.506333,26.615056
93.47625,26.608889
93.452417,26.599444
93.373417,26.587278
91.005884,26.730048
132.727497,-14.050213
131.25374,-12.23807
132.17508,-12.78866
134.177689,-14.187564
133.987097,-12.466707
132.22257,-13.60894
134.474313,-14.130057
132.453477,-14.445997
133.148277,-13.210776
132.94696,-12.75752
133.593026,-12.456562
132.05776,-13.21665
130.54543,-16.45604
131.00752,-12.42779
132.4735,-13.35209
132.84369,-13.28328
130.913908,-12.518341
133.135676,-13.365223
133.091724,-13.082853
131.03418,-12.14858
131.120214,-12.84359
133.109406,-13.203629
134.032924,-12.541877
133.237979,-13.35704
133.121288,-12.508361
134.110856,-12.697167
132.9198,-12.88722
129.455526,-14.34731
134.198959,-12.907753
132.887681,-12.927481
131.04036,-12.27133
136.775158,-12.186568
133.085054,-12.519506
131.14935,-12.18177
130.87435,-12.38566
130.97446,-12.4316
134.341653,-12.631398
132.625482,-12.965138
130.967883,-12.465262
136.81864,-11.66805
133.81432,-12.18798
132.569023,-13.952256
131.082214,-12.726591
133.542578,-12.755321
130.948234,-12.561109
132.736121,-14.022229
133.265336,-13.318326
132.98871,-13.1782
132.93208,-12.99727
130.855384,-12.418415
132.29021,-14.01117
132.38083,-13.62258
132.65306,-13.4325
134.320439,-12.694742
133.179766,-13.355186
133.06073,-13.07955
134.100901,-12.930369
132.48941,-13.41104
135.74611,-11.95162
132.78886,-12.8649
132.477353,-13.414294
130.911381,-12.885945
131.10021,-15.58338
131.88284,-14.93246
132.8349,-12.667586
131.12904,-12.20137
130.9411,-12.4411
133.65029,-12.768925
134.028599,-12.555191
133.819616,-12.772191
134.242083,-12.672827
133.422944,-13.160553
130.97664,-12.41568
131.08281,-12.21554
134.306546,-12.70301
130.881214,-12.448592
131.3087,-15.39397
134.526061,-14.011316
134.065463,-12.690708
133.99854,-12.539726
133.14719,-14.93237
132.97034,-12.44057
130.863132,-12.383211
132.27213,-13.55331
132.40982,-13.82043
134.464344,-14.153947
130.845,-12.382
133.98369,-12.73948
133.12476,-14.98526
130.852916,-12.42888
130.978614,-12.499736
131.13333,-12.98333
134.056313,-12.524699
133.073769,-13.104167
131.01435,-12.997785
133.717525,-12.558554
131.24477,-12.25736
130.881538,-12.391775
133.63839,-12.482757
132.32452,-14.01309
133.065319,-13.05336
130.839234,-12.434002
133.96249,-12.74712
132.016572,-12.825006
129.4021,-14.381537
134.2532,-14.26439
130.887344,-12.43233
133.356716,-12.742549
134.275211,-12.700135
132.99132,-12.58319
131.113594,-12.535278
132.56267,-14.34906
131.20267,-12.32449
131.995605,-12.895713
132.33487,-13.58789
129.470703,-14.362994
133.13693,-14.95419
134.19026,-14.24265
130.893114,-12.384485
134.0427,-12.427409
132.007247,-12.806627
131.105477,-13.239023
131.75427,-12.65228
132.538823,-12.923778
134.29847,-12.64609
131.2235,-12.34642
132.58928,-13.57097
132.33832,-14.0616
134.09637,-12.64216
134.083947,-12.764061
131.7663,-12.6165
131.2684,-12.28105
130.845385,-12.447855
132.50726,-13.51342
132.52989,-13.31279
133.396452,-13.036544
129.456548,-14.39987
133.740375,-12.470016
133.668763,-12.652735
130.920561,-12.693424
131.341771,-15.70165
133.605476,-13.383792
132.64441,-13.29283
134.117167,-12.5285
132.16137,-13.07999
130.98843,-12.4161
130.970849,-12.505586
133.154611,-12.878327
132.03897,-13.35756
129.450945,-14.356269
131.7206,-12.6285
132.890251,-12.90444
130.78479,-13.42638
133.389008,-13.056972
133.13739,-14.88391
133.854436,-23.706499
134.101729,-12.530831
131.9424,-15.06624
132.39273,-14.13008
133.134897,-13.254168
132.44524,-13.51933
133.89313,-12.738033
130.849909,-12.40296
129.690979,-14.32148
131.07738,-12.29318
134.077898,-12.776993
132.59088,-13.91296
132.163988,-13.048367
130.85979,-12.39369
132.21869,-14.21834
132.322378,-14.553089
134.08752,-12.784582
133.17907,-12.883238
130.83682,-12.41744
133.954458,-12.623926
133.620515,-12.49219
132.85135,-13.22324
133.518712,-13.421569999999999
134.465174,-14.176509
133.20139,-15.02187
132.252356,-12.767559
130.9818,-12.45017
134.175214,-12.901923
133.604721,-13.401715
133.12416,-14.93495
130.3806,-16.04793
133.724926,-12.572419
134.223174,-14.260081
133.601141,-12.710999
132.274484,-13.432996
131.222664,-13.928415
130.977943,-12.3803
131.068864,-12.468022
130.953066,-12.394619
130.890976,-12.372796
130.396633,-15.61495
133.744486,-12.396181
133.689789,-12.374972
134.477046,-14.214767
134.099443,-12.767689
130.1998,-15.88966
129.820892,-14.693809
133.42471,-13.132339
129.414798,-14.333062
131.18498,-12.41301
130.921014,-12.887609
133.353137,-12.697134
133.79324,-12.22367
132.97969,-12.86022
133.099408,-13.10714
131.25206,-12.25051
134.089611,-14.161894
130.920429,-12.677018
131.15,-12.36667
131.074546,-12.581925
134.275627,-14.039897
133.705772,-12.445333
130.938245,-12.887074
132.077586,-12.883958
132.62273,-13.7415
133.680409,-12.612422
133.9787,-12.76125
131.122881,-12.951923
132.046082,-12.78556
130.915942,-12.401652
130.902423,-12.393793
132.85481,-12.78227
131.20719,-12.3385
130.854389,-12.37945
136.82504,-11.65745
134.169788,-12.920636
132.320454,-14.486407
130.8933,-12.397
132.57646,-13.49849
131.78387,-12.65938
130.99742,-12.45078
134.184361,-12.912981
132.80272,-13.36179
132.95551,-12.54248
130.396633,-20.192567
130.869015,-12.361314
133.676116,-12.377282
133.916211,-12.634994
132.33492,-12.74276
132.37239,-13.80238
131.5973,-14.75378
134.114715,-14.244964
108.447029,11.942013
101.683266,3.237869
142.579,-37.2657
145.301,-37.9366
142.398,-37.342
143.62,-37.6975
142.393,-37.1961
142.562,-37.193
144.82,-36.8003
142.456,-37.1524
142.598,-37.2392
143.803,-37.774
143.824,-37.7573
142.508,-37.333
142.549,-37.2247
144.094,-37.4402
142.269,-37.281
142.586,-37.2327
142.533,-37.1174
143.775,-37.751
142.518,-37.1169
142.453,-37.4263
142.252,-37.2951
142.562,-37.2252
142.511,-37.187
142.657,-37.3316
143.485,-38.5277
142.312,-37.3239
142.588,-37.2458
142.257,-37.4002
142.479,-37.2571
142.391,-37.3515
142.408,-37.3139
142.278,-37.2584
143.775,-37.7679
142.301,-37.3401
143.706,-37.7308
142.543,-37.1954
142.569,-37.3959
142.524,-37.1981
142.493,-37.3871
142.498,-37.3575
142.568,-37.2622
142.485,-37.0483
144.181,-37.2343
142.575,-37.2216
142.286,-37.4075
142.234,-37.3109
144.975395,-35.639249
144.748056,-36.110278
145.025446,-35.777355
144.994469,-35.807382
