,country,actual_abundance,point_suitability,study_area_suitability,buffer_10k,buffer_50k,buffer_100k,country_suitability,coutry_area,suitable_area_km2,suitable_prop,,,,,,,
1,Argentina,16.66666667,NA,NA,NA,NA,NA,0.757130803,2789345.793,41287.0509,0.014801697,,,,,,,
2,Finland,85.2173913,0.828248047,0.828314331,0.82838644,0.808408112,0.79509633,0.771622601,331677.318,233534.0805,0.704100244,,,,,,,
3,Finland,46.2962963,0.831105469,0.831109253,0.830192138,0.812492181,0.796566421,0.771622601,331677.318,233534.0805,0.704100244,,,,,,,
4,Norway,122.5970969,0.806428406,0.805720764,0.809023325,0.802096183,0.787890601,0.790024187,380387.715,165119.9332,0.434083244,,,,,,,
5,Poland,9.163987138,0.77438092,0.774241089,0.775354853,0.774072303,0.770884679,0.768502774,312917.002,257635.6855,0.823335529,,,,,,,
6,Poland,0.889249395,0.772062378,0.76663562,0.768028575,0.766244235,0.766110746,0.768502774,312917.002,257635.6855,0.823335529,,,,,,,
7,Spain,1.5,0.812974609,0.812281555,0.81230525,0.801825832,0.79056215,0.775561989,507461.4825,141431.7706,0.278704445,,,,,,,
8,Spain,1,0.774226013,0.774607544,0.777045744,0.780996258,0.781148089,0.775561989,507461.4825,141431.7706,0.278704445,,,,,,,
9,Spain,10.85450346,NA,NA,0.807600866,0.799260397,0.790859098,0.775561989,507461.4825,141431.7706,0.278704445,,,,,,,
10,Spain,0.053667263,0.82624646,0.825223755,0.828404406,0.819136748,0.801400677,0.775561989,507461.4825,141431.7706,0.278704445,,,,,,,
11,United Kingdom,31.02040816,0.82093811,0.820965637,0.821328336,0.826554367,0.826327428,0.823674331,243280.4467,238110.2765,0.978748106,,,,,,,
12,United Kingdom,0.069,0.842208862,0.842148987,0.840751576,0.838941999,0.837968923,0.823674331,243280.4467,238110.2765,0.978748106,,,,,,,
,,,,,,,,,,,,,Country Suitability,,,,Country Suitability,
,Country,Observed Abundance,Coordinate suitability,Study Area Suitability,10km Buffer,50km Buffer,100km Buffer,Country,Proportion of Country,,,Country,Climate Only,Footprint,,Country,Climate Only,Footprint
,Argentina,16.67,NA,NA,NA,NA,NA,0.76,0.015,,,Argentina,0.757,0.768,,Argentina,0.757,0.768
,Finland,85.22,0.83,0.83,0.83,0.81,0.8,0.77,0.704,,,Finland,0.772,0.767,,Finland,0.772,0.767
,Finland,46.3,0.83,0.83,0.83,0.81,0.8,0.77,0.704,,,Finland,0.772,0.767,,Norway,0.79,0.791
,Norway,122.6,0.81,0.81,0.81,0.8,0.79,0.79,0.434,,,Norway,0.79,0.791,,Poland,0.769,0.773
,Poland,9.16,0.77,0.77,0.78,0.77,0.77,0.77,0.823,,,Poland,0.769,0.773,,Spain,0.776,0.776
,Poland,0.89,0.77,0.77,0.77,0.77,0.77,0.77,0.823,,,Poland,0.769,0.773,,United Kingdom,0.824,0.824
,Spain,1.5,0.81,0.81,0.81,0.8,0.79,0.78,0.279,,,Spain,0.776,0.776,,,,
,Spain,1,0.77,0.77,0.78,0.78,0.78,0.78,0.279,,,Spain,0.776,0.776,,,,
,Spain,10.85,NA,NA,0.81,0.8,0.79,0.78,0.279,,,Spain,0.776,0.776,,,,
,Spain,0.05,0.83,0.83,0.83,0.82,0.8,0.78,0.279,,,Spain,0.776,0.776,,,,
,United Kingdom,31.02,0.82,0.82,0.82,0.83,0.83,0.82,0.979,,,United Kingdom,0.824,0.824,,,,
,United Kingdom,0.07,0.84,0.84,0.84,0.84,0.84,0.82,0.979,,,United Kingdom,0.824,0.824,,,,
