,scale,rho.x,p.x,rho.y,p.y,,,,,,
1,buffer_100k,-0.045454545,0.902917867,-0.013798001,0.967882499,,,,,,
2,buffer_10k,0.090909091,0.796592401,0.25890391,0.442043436,,,,,,
3,buffer_50k,0.027272727,0.94598367,0.136358363,0.689320518,,,,,,
4,country_suitability,-0.057260567,0.859699545,0.052496118,0.87128386,,,,,,
5,point_suitability,0.054545455,0.891638844,0.238383862,0.5071718,,,,,,
6,study_area_suitability,0.03030303,0.945709808,0.239769165,0.504631939,,,,,,
,,,,,,,,,,,
,Scale,Spearman's Coefficient,Spearman P,Pearson Coefficient,Pearson P,,Scale,Spearman's Coefficient,Spearman P,Pearson Coefficient,Pearson P
,Study Coordinates,0.054545455,0.891638844,0.238383862,0.5071718,,Study Coordinates,0.054545455,0.892,0.238383862,0.507
,Study Area,0.03030303,0.945709808,0.239769165,0.504631939,,Study Area,0.03030303,0.946,0.239769165,0.505
,Study Country,-0.057260567,0.859699545,0.052496118,0.87128386,,Study Country,-0.057260567,0.86,0.052496118,0.871
,10km Buffer,0.090909091,0.796592401,0.25890391,0.442043436,,10km Buffer,0.090909091,0.797,0.25890391,0.442
,50km Buffer,0.027272727,0.94598367,0.136358363,0.689320518,,50km Buffer,0.027272727,0.946,0.136358363,0.689
,100km Buffer,-0.045454545,0.902917867,-0.013798001,0.967882499,,100km Buffer,-0.045454545,0.903,-0.013798001,0.968
