,country,actual_abundance,point_suitability,study_area_suitability,buffer_10k,buffer_50k,buffer_100k,country_suitability,coutry_area,suitable_area_km2,suitable_prop,,,,,,,
1,Argentina,16.66666667,NA,NA,NA,NA,NA,0.767545878,2789345.793,44161.73329,0.015832291,,,,,,,
2,Finland,85.2173913,0.834533264,0.834472717,0.833503878,0.816735269,0.807164805,0.7665695,331677.318,220137.7269,0.663710525,,,,,,,
3,Finland,46.2962963,0.82992334,0.830063171,0.831155532,0.818100257,0.807849882,0.7665695,331677.318,220137.7269,0.663710525,,,,,,,
4,Norway,122.5970969,0.812963806,0.811960022,0.813243642,0.806101921,0.789129204,0.790587219,380387.715,167809.3234,0.441153373,,,,,,,
5,Poland,9.163987138,0.774539551,0.773207092,0.7732232,0.775302899,0.775247362,0.772516372,312917.002,265370.6507,0.848054433,,,,,,,
6,Poland,0.889249395,0.77285907,0.767138916,0.76934948,0.768218662,0.768621919,0.772516372,312917.002,265370.6507,0.848054433,,,,,,,
7,Spain,1.5,0.821262878,0.821080566,0.821974346,0.803325962,0.786270347,0.776071469,507461.4825,139663.1845,0.275219281,,,,,,,
8,Spain,1,0.806308838,0.806651123,0.806969625,0.797084557,0.778424471,0.776071469,507461.4825,139663.1845,0.275219281,,,,,,,
9,Spain,10.85450346,NA,NA,0.810950681,0.803260389,0.790444775,0.776071469,507461.4825,139663.1845,0.275219281,,,,,,,
10,Spain,0.053667263,0.78918811,0.793357605,0.794138612,0.799845747,0.794346585,0.776071469,507461.4825,139663.1845,0.275219281,,,,,,,
11,United Kingdom,31.02040816,0.82283252,0.822756042,0.823524785,0.82832314,0.828844165,0.824225611,243280.4467,238021.1278,0.978381662,,,,,,,
12,United Kingdom,0.069,0.845418457,0.845241821,0.843383336,0.840811126,0.839062299,0.824225611,243280.4467,238021.1278,0.978381662,,,,,,,
,,,,,,,,,,,,,Country Suitability,,,,Country Suitability,
,Country,Observed Abundance,Coordinate suitability,Study Area Suitability,10km Buffer,50km Buffer,100km Buffer,Country,Proportion of Country,,,Country,Climate Only,Footprint,,Country,Climate Only,Footprint
,Argentina,16.67,NA,NA,NA,NA,NA,0.77,0.02,,,Argentina,0.757,0.768,,Argentina,0.757,0.768
,Finland,85.22,0.83,0.83,0.83,0.82,0.81,0.77,0.66,,,Finland,0.772,0.767,,Finland,0.772,0.767
,Finland,46.3,0.83,0.83,0.83,0.82,0.81,0.77,0.66,,,Finland,0.772,0.767,,Norway,0.79,0.791
,Norway,122.6,0.81,0.81,0.81,0.81,0.79,0.79,0.44,,,Norway,0.79,0.791,,Poland,0.769,0.773
,Poland,9.16,0.77,0.77,0.77,0.78,0.78,0.77,0.85,,,Poland,0.769,0.773,,Spain,0.776,0.776
,Poland,0.89,0.77,0.77,0.77,0.77,0.77,0.77,0.85,,,Poland,0.769,0.773,,United Kingdom,0.824,0.824
,Spain,1.5,0.82,0.82,0.82,0.8,0.79,0.78,0.28,,,Spain,0.776,0.776,,,,
,Spain,1,0.81,0.81,0.81,0.8,0.78,0.78,0.28,,,Spain,0.776,0.776,,,,
,Spain,10.85,NA,NA,0.81,0.8,0.79,0.78,0.28,,,Spain,0.776,0.776,,,,
,Spain,0.05,0.79,0.79,0.79,0.8,0.79,0.78,0.28,,,Spain,0.776,0.776,,,,
,United Kingdom,31.02,0.82,0.82,0.82,0.83,0.83,0.82,0.98,,,United Kingdom,0.824,0.824,,,,
,United Kingdom,0.07,0.85,0.85,0.84,0.84,0.84,0.82,0.98,,,United Kingdom,0.824,0.824,,,,
