,scale,rho.x,p.x,rho.y,p.y,,,,,,
1,buffer_100k,0.163636364,0.633869588,0.12229234,0.720190221,,,,,,
2,buffer_10k,0.372727273,0.260598371,0.318611008,0.33961024,,,,,,
3,buffer_50k,0.363636364,0.273172593,0.238453418,0.480119794,,,,,,
4,country_suitability,-0.264830121,0.405494855,-0.024056867,0.940843214,,,,,,
5,point_suitability,0.309090909,0.387054968,0.326358382,0.35739327,,,,,,
6,study_area_suitability,0.309090909,0.387054968,0.311673795,0.380671846,,,,,,
,,,,,,,,,,,
,Scale,Spearman's Coefficient,Spearman P,Pearson Coefficient,Pearson P,,Scale,Spearman's Coefficient,Spearman P,Pearson Coefficient,Pearson P
,Study Coordinates,0.309090909,0.387054968,0.326358382,0.35739327,,Study Coordinates,0.309090909,0.387,0.326358382,0.357
,Study Area,0.309090909,0.387054968,0.311673795,0.380671846,,Study Area,0.309090909,0.387,0.311673795,0.381
,Study Country,-0.264830121,0.405494855,-0.024056867,0.940843214,,Study Country,-0.264830121,0.405,-0.024056867,0.941
,10km Buffer,0.372727273,0.260598371,0.318611008,0.33961024,,10km Buffer,0.372727273,0.261,0.318611008,0.34
,50km Buffer,0.363636364,0.273172593,0.238453418,0.480119794,,50km Buffer,0.363636364,0.273,0.238453418,0.48
,100km Buffer,0.163636364,0.633869588,0.12229234,0.720190221,,100km Buffer,0.163636364,0.634,0.12229234,0.72
