,country,actual_abundance,point_suitability,study_area_suitability,buffer_10k,buffer_50k,buffer_100k,country_suitability,coutry_area,suitable_area_km2,suitable_prop,,,Country,Observed Abundance,Coordinate suitability,Study Area Suitability,10km Buffer,50km Buffer,100km Buffer,Country,Proportion of Country,,,,,,prop>0.75,prop<0.2
1,Australia,1810,NA,NA,NA,NA,NA,0.658924438,7723183.143,1069028.878,0.13841817,,,Australia,1810,NA,NA,NA,NA,NA,0.66,0.138,,,Australia,0.138,,no,Australia
2,Australia,1023.529412,0.705649353,0.706830078,0.710567598,0.674587641,0.636969963,0.658924438,7723183.143,1069028.878,0.13841817,,,Australia,1023.53,0.71,0.71,0.71,0.67,0.64,0.66,0.138,,,Chile,0.378,,no,no
3,Australia,2500,0.741,0.726213745,0.767895562,0.734272308,0.707305941,0.658924438,7723183.143,1069028.878,0.13841817,,,Australia,2500,0.74,0.73,0.77,0.73,0.71,0.66,0.138,,,Ecuador,0.28,,no,no
4,Australia,1670,0.749403503,0.746551819,0.748311441,0.751884869,0.746207512,0.658924438,7723183.143,1069028.878,0.13841817,,,Australia,1670,0.75,0.75,0.75,0.75,0.75,0.66,0.138,,,France,0.909,,France,no
5,Australia,50.52631579,0.578933533,0.563234009,0.561015564,0.561015564,0.561015564,0.658924438,7723183.143,1069028.878,0.13841817,,,Australia,50.53,0.58,0.56,0.56,0.56,0.56,0.66,0.138,,,Gabon,0.082,,no,Gabon
6,Australia,988.5,0.766322388,0.766322388,0.763740527,0.732071738,0.716450141,0.658924438,7723183.143,1069028.878,0.13841817,,,Australia,988.5,0.77,0.77,0.76,0.73,0.72,0.66,0.138,,,Japan,0.747,,Japan,no
7,Australia,259.1836735,NA,NA,0.746513254,0.778825841,0.778241214,0.658924438,7723183.143,1069028.878,0.13841817,,,Australia,259.18,NA,NA,0.75,0.78,0.78,0.66,0.138,,,Madagascar,0.169,,no,Madagascar
8,Chile,212.5,NA,NA,NA,0.526924135,0.548356361,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,212.5,NA,NA,NA,0.53,0.55,0.64,0.378,,,New Caledonia,0.748,,New Caledonia,no
9,Chile,275,0.605870605,0.609144836,0.603447956,0.601694694,0.608733825,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,275,0.61,0.61,0.6,0.6,0.61,0.64,0.378,,,New Zealand,0.622,,no,no
10,Chile,62.5,0.566818726,0.567683777,0.577206519,0.609136587,0.634928953,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,62.5,0.57,0.57,0.58,0.61,0.63,0.64,0.378,,,Niger,1.48E-05,,no,Niger
11,Chile,37.5,0.546793762,0.54896698,0.577287028,0.604602567,0.616225283,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,37.5,0.55,0.55,0.58,0.6,0.62,0.64,0.378,,,Portugal,0.99,,Portugal,no
12,Chile,25,0.645504456,0.645067749,0.645816596,0.626636239,0.636239047,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,25,0.65,0.65,0.65,0.63,0.64,0.64,0.378,,,Puerto Rico,0.849,,Puerto Rico,no
13,Chile,175,NA,NA,NA,0.49668575,0.545251525,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,175,NA,NA,NA,0.5,0.55,0.64,0.378,,,United States of America,0.382,,no,no
14,Chile,0.41322314,0.694186829,0.69534436,0.694777651,0.662219446,0.679285979,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,0.41,0.69,0.7,0.69,0.66,0.68,0.64,0.378,,,,,,,
15,Chile,50,NA,NA,0.620601047,0.659504124,0.695897831,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,50,NA,NA,0.62,0.66,0.7,0.64,0.378,,,,,,,
16,Chile,37.5,NA,NA,0.606551938,0.653573615,0.69226193,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,37.5,NA,NA,0.61,0.65,0.69,0.64,0.378,,,,,,,
17,Chile,62.5,0.732786011,0.732786011,0.730763696,0.699776124,0.652126338,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,62.5,0.73,0.73,0.73,0.7,0.65,0.64,0.378,,,,,,,
18,Chile,25,0.504332947,0.503425934,0.520846966,0.610044757,0.618196421,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,25,0.5,0.5,0.52,0.61,0.62,0.64,0.378,,,,,,,
19,Chile,125,NA,NA,NA,NA,NA,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,125,NA,NA,NA,NA,NA,0.64,0.378,,,,,,,
20,Chile,12.5,0.580968567,0.580938599,0.598264251,0.612600037,0.63665215,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,12.5,0.58,0.58,0.6,0.61,0.64,0.64,0.378,,,,,,,
21,Chile,162.5,NA,NA,NA,0.547961659,0.537270227,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,162.5,NA,NA,NA,0.55,0.54,0.64,0.378,,,,,,,
22,Chile,25,NA,NA,NA,NA,NA,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,25,NA,NA,NA,NA,NA,0.64,0.378,,,,,,,
23,Chile,75,NA,NA,NA,0.511926067,0.528360984,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,75,NA,NA,NA,0.51,0.53,0.64,0.378,,,,,,,
24,Chile,100,NA,NA,NA,NA,0.49668575,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,100,NA,NA,NA,NA,0.5,0.64,0.378,,,,,,,
25,Chile,962.5,0.674019348,0.674019348,0.678007064,0.663793103,0.641736417,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,962.5,0.67,0.67,0.68,0.66,0.64,0.64,0.378,,,,,,,
26,Chile,225,0.658300964,0.658186646,0.6677391,0.668455833,0.637995647,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,225,0.66,0.66,0.67,0.67,0.64,0.64,0.378,,,,,,,
27,Chile,50,0.676341675,0.676341675,0.677951326,0.662736574,0.648633726,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,50,0.68,0.68,0.68,0.66,0.65,0.64,0.378,,,,,,,
28,Chile,12.5,0.702502319,0.702619873,0.698907354,0.67360767,0.653504973,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,12.5,0.7,0.7,0.7,0.67,0.65,0.64,0.378,,,,,,,
29,Chile,275,0.714970947,0.713966431,0.730898954,0.676126282,0.654335746,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,275,0.71,0.71,0.73,0.68,0.65,0.64,0.378,,,,,,,
30,Chile,312.5,0.673969238,0.674232483,0.678732299,0.670727252,0.649453306,0.639845343,738017.5909,279129.319,0.378214994,,,Chile,312.5,0.67,0.67,0.68,0.67,0.65,0.64,0.378,,,,,,,
31,Ecuador,0.317919075,NA,NA,NA,NA,NA,0.645207051,256729.0189,72006.46023,0.280476514,,,Ecuador,0.32,NA,NA,NA,NA,NA,0.65,0.28,,,,,,,
32,Ecuador,0.678632479,NA,NA,NA,NA,NA,0.645207051,256729.0189,72006.46023,0.280476514,,,Ecuador,0.68,NA,NA,NA,NA,NA,0.65,0.28,,,,,,,
33,France,5000,0.699714966,0.699714966,0.670700257,0.691744374,0.688938756,0.757251646,637161.2162,579371.1004,0.909300638,,,France,5000,0.7,0.7,0.67,0.69,0.69,0.76,0.909,,,,,,,
34,Gabon,6652.360515,NA,NA,NA,NA,NA,0.524167797,261718.203,21330.10195,0.081500261,,,Gabon,6652.36,NA,NA,NA,NA,NA,0.52,0.082,,,,,,,
35,Japan,4750,NA,NA,NA,0.621182673,0.590817775,0.60286633,374167.9843,279448.8942,0.746854103,,,Japan,4750,NA,NA,NA,0.62,0.59,0.6,0.747,,,,,,,
36,Madagascar,7.654320988,0.567550232,0.570486267,0.568534674,0.565337789,0.560877906,0.543145664,596082.7359,100808.1973,0.169117794,,,Madagascar,7.65,0.57,0.57,0.57,0.57,0.56,0.54,0.169,,,,,,,
37,Madagascar,4.478873317,NA,NA,NA,NA,NA,0.543145664,596082.7359,100808.1973,0.169117794,,,Madagascar,4.48,NA,NA,NA,NA,NA,0.54,0.169,,,,,,,
38,Madagascar,0.06716671,0.563911316,0.565018066,0.558441497,0.552951571,0.541461364,0.543145664,596082.7359,100808.1973,0.169117794,,,Madagascar,0.07,0.56,0.57,0.56,0.55,0.54,0.54,0.169,,,,,,,
39,Madagascar,225.5639098,NA,NA,NA,0.497101577,0.511156546,0.543145664,596082.7359,100808.1973,0.169117794,,,Madagascar,225.56,NA,NA,NA,0.5,0.51,0.54,0.169,,,,,,,
40,Madagascar,17.86108049,0.640453918,0.63984613,0.632095446,0.606063093,0.576281525,0.543145664,596082.7359,100808.1973,0.169117794,,,Madagascar,17.86,0.64,0.64,0.63,0.61,0.58,0.54,0.169,,,,,,,
41,Madagascar,6.019711054,NA,NA,NA,NA,0.487001888,0.543145664,596082.7359,100808.1973,0.169117794,,,Madagascar,6.02,NA,NA,NA,NA,0.49,0.54,0.169,,,,,,,
42,New Caledonia,2.241250931,0.659090149,0.580760864,0.58457383,0.605912353,0.594261661,0.572444859,18934.52174,14167.271,0.748224391,,,New Caledonia,2.24,0.66,0.58,0.58,0.61,0.59,0.57,0.748,,,,,,,
43,New Zealand,650,NA,0.501927124,0.499532033,0.61487584,0.654418222,0.680602815,268712.4098,167071.8983,0.621749842,,,New Zealand,650,NA,0.5,0.5,0.61,0.65,0.68,0.622,,,,,,,
44,Niger,0.569824514,NA,NA,NA,NA,NA,0.500997884,1187814.339,17.62616962,1.48E-05,,,Niger,0.57,NA,NA,NA,NA,NA,0.5,1.48E-05,,,,,,,
45,Portugal,0.3925,0.753294739,0.761600159,0.762283818,0.760516296,0.756497856,0.713159905,91507.4332,90556.16294,0.989604448,,,Portugal,0.39,0.75,0.76,0.76,0.76,0.76,0.71,0.99,,,,,,,
46,Portugal,0.278651685,0.745178223,0.749681274,0.747238787,0.752655459,0.75315491,0.713159905,91507.4332,90556.16294,0.989604448,,,Portugal,0.28,0.75,0.75,0.75,0.75,0.75,0.71,0.99,,,,,,,
47,Portugal,1.764705882,0.693038086,0.698951355,0.700230091,0.691962403,0.691962403,0.713159905,91507.4332,90556.16294,0.989604448,,,Portugal,1.76,0.69,0.7,0.7,0.69,0.69,0.71,0.99,,,,,,,
48,Puerto Rico,6.484848485,0.582793823,0.568086426,0.580919779,0.637195504,0.60802815,0.597897272,9054.782711,7690.842041,0.849367929,,,Puerto Rico,6.48,0.58,0.57,0.58,0.64,0.61,0.6,0.849,,,,,,,
49,United States of America,141.6666667,0.695129456,0.692413513,0.662255827,0.663317323,0.670408638,0.606943633,9469009.105,3620026.167,0.382302533,,,United States of America,141.67,0.7,0.69,0.66,0.66,0.67,0.61,0.382,,,,,,,
50,United States of America,6.5,0.60767865,0.608536987,0.692397757,0.6348106,0.633072613,0.606943633,9469009.105,3620026.167,0.382302533,,,United States of America,6.5,0.61,0.61,0.69,0.63,0.63,0.61,0.382,,,,,,,
51,United States of America,980,0.611214294,0.608492188,0.661715834,0.663317323,0.671305114,0.606943633,9469009.105,3620026.167,0.382302533,,,United States of America,980,0.61,0.61,0.66,0.66,0.67,0.61,0.382,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Country Suitability,,,,,,Country Suitability,,,,,,,,,,,,,,,,,,,,,
,Country,Climate Only,round,Footprint,round,,Country,Climate Only,Footprint,,,,,,,,,,,,,,,,,,,,
,Australia,0.658924438,0.659,0.672441024,0.672,,Australia,0.658924438,0.672441024,,,,,,,,,,,,,,,,,,,,
,Chile,0.639845343,0.64,0.620158595,0.62,,Chile,0.639845343,0.620158595,,,,,,,,,,,,,,,,,,,,
,Ecuador,0.645207051,0.645,0.61096086,0.611,,Ecuador,0.645207051,0.61096086,,,,,,,,,,,,,,,,,,,,
,France,0.757251646,0.757,0.743054708,0.743,,France,0.757251646,0.743054708,,,,,,,,,,,,,,,,,,,,
,Gabon,0.524167797,0.524,0.487018729,0.487,,Gabon,0.524167797,0.487018729,,,,,,,,,,,,,,,,,,,,
,Japan,0.60286633,0.603,0.635044905,0.635,,Japan,0.60286633,0.635044905,,,,,,,,,,,,,,,,,,,,
,Madagascar,0.543145664,0.543,0.580334389,0.58,,Madagascar,0.543145664,0.580334389,,,,,,,,,,,,,,,,,,,,
,New Caledonia,0.572444859,0.572,0.661586368,0.662,,New Caledonia,0.572444859,0.661586368,,,,,,,,,,,,,,,,,,,,
,New Zealand,0.680602815,0.681,0.708121456,0.708,,New Zealand,0.680602815,0.708121456,,,,,,,,,,,,,,,,,,,,
,Niger,0.500997884,0.501,0,0,,Niger,0.500997884,0,,,,,,,,,,,,,,,,,,,,
,Portugal,0.713159905,0.713,0.687534815,0.688,,Portugal,0.713159905,0.687534815,,,,,,,,,,,,,,,,,,,,
,Puerto Rico,0.597897272,0.598,0.745344513,0.745,,Puerto Rico,0.597897272,0.745344513,,,,,,,,,,,,,,,,,,,,
,United States of America,0.606943633,0.607,0.623431986,0.623,,United States of America,0.606943633,0.623431986,,,,,,,,,,,,,,,,,,,,
