,scale,rho.x,p.x,rho.y,p.y,,,,,,,,,,
1,buffer_100k,0.153915871,0.324407431,0.178025118,0.253395255,,,,,,,,,,
2,buffer_10k,0.242959248,0.159623318,0.261404878,0.129306726,,,,,,,,,,
3,buffer_50k,0.182721217,0.252846492,0.219575478,0.167774493,,,,,,,,,,
4,country_suitability,0.2011244,0.157005247,0.027072385,0.850424384,,,,,,,,,,
5,point_suitability,0.28156517,0.124906421,0.332113968,0.067948628,,,,,,,,,,
6,study_area_suitability,0.214521467,0.238388873,0.293291431,0.10328075,,,,,,,,,,
,,,,,,,,,,,,,,,
,Scale,Spearman's Coefficient,Spearman P,Pearson Coefficient,Pearson P,,Scale,Spearman's Coefficient,Spearman P,Pearson Coefficient,Pearson P,,,,
,Study Coordinates,0.28156517,0.124906421,0.332113968,0.067948628,,Study Coordinates,0.28156517,0.125,0.332113968,0.068,,NA,,NA
,Study Area,0.214521467,0.238388873,0.293291431,0.10328075,,Study Area,0.214521467,0.238,0.293291431,0.103,,NA,,NA
,Study Country,0.2011244,0.157005247,0.027072385,0.850424384,,Study Country,0.2011244,0.157,0.027072385,0.85,,NA,,NA
,10km Buffer,0.242959248,0.159623318,0.261404878,0.129306726,,10km Buffer,0.242959248,0.16,0.261404878,0.129,,NA,,NA
,50km Buffer,0.182721217,0.252846492,0.219575478,0.167774493,,50km Buffer,0.182721217,0.253,0.219575478,0.168,,NA,,NA
,100km Buffer,0.153915871,0.324407431,0.178025118,0.253395255,,100km Buffer,0.153915871,0.324,0.178025118,0.253,,NA,,NA
