,country,actual_abundance,point_suitability,study_area_suitability,buffer_10k,buffer_50k,buffer_100k,country_suitability,coutry_area,suitable_area_km2,suitable_prop,,,Country,Observed Abundance,Coordinate suitability,Study Area Suitability,10km Buffer,50km Buffer,100km Buffer,Country,Proportion of Country,,,,,,prop>0.75,prop<0.2
1,Australia,1810,NA,NA,NA,NA,NA,0.672441024,7723183.143,1097498.214,0.142104388,,,Australia,1810,NA,NA,NA,NA,NA,0.67,0.142,,,Australia,0.142,,no,Australia
2,Australia,1023.529412,0.839678833,0.841357361,0.843222174,0.782786463,0.734181052,0.672441024,7723183.143,1097498.214,0.142104388,,,Australia,1023.53,0.84,0.84,0.84,0.78,0.73,0.67,0.142,,,Chile,0.254,,no,Chile
3,Australia,2500,0.81,0.803953796,0.82795831,0.769786728,0.690464636,0.672441024,7723183.143,1097498.214,0.142104388,,,Australia,2500,0.81,0.8,0.83,0.77,0.69,0.67,0.142,,,Ecuador,0.232,,no,Ecuador
4,Australia,1670,0.820312256,0.819314453,0.815683979,0.819004856,0.784232484,0.672441024,7723183.143,1097498.214,0.142104388,,,Australia,1670,0.82,0.82,0.82,0.82,0.78,0.67,0.142,,,France,0.883,,France,no
5,Australia,50.52631579,NA,0.492896454,0.514854965,0.514854965,0.514854965,0.672441024,7723183.143,1097498.214,0.142104388,,,Australia,50.53,NA,0.49,0.51,0.51,0.51,0.67,0.142,,,Gabon,3.33E-05,,no,Gabon
6,Australia,988.5,0.837336426,0.837336426,0.833061933,0.750700316,0.706347191,0.672441024,7723183.143,1097498.214,0.142104388,,,Australia,988.5,0.84,0.84,0.83,0.75,0.71,0.67,0.142,,,Japan,0.783,,Japan,no
7,Australia,259.1836735,NA,NA,0.822220284,0.822480789,0.818687828,0.672441024,7723183.143,1097498.214,0.142104388,,,Australia,259.18,NA,NA,0.82,0.82,0.82,0.67,0.142,,,Madagascar,0.119,,no,Madagascar
8,Chile,212.5,NA,NA,NA,NA,0.497290358,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,212.5,NA,NA,NA,NA,0.5,0.62,0.254,,,New Caledonia,0.919,,New Caledonia,no
9,Chile,275,0.503244202,0.505470215,0.513929898,0.545957626,0.551058469,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,275,0.5,0.51,0.51,0.55,0.55,0.62,0.254,,,New Zealand,0.686,,no,no
10,Chile,62.5,NA,NA,NA,0.627022849,0.621085072,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,62.5,NA,NA,NA,0.63,0.62,0.62,0.254,,,Niger,0,,no,Niger
11,Chile,37.5,0.485011536,0.484988342,0.529453504,0.539551555,0.553597662,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,37.5,0.49,0.48,0.53,0.54,0.55,0.62,0.254,,,Portugal,0.983,,Portugal,no
12,Chile,25,0.76266925,0.761904968,0.760197017,0.725016803,0.688299604,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,25,0.76,0.76,0.76,0.73,0.69,0.62,0.254,,,Puerto Rico,0.93,,Puerto Rico,no
13,Chile,175,NA,NA,NA,NA,NA,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,175,NA,NA,NA,NA,NA,0.62,0.254,,,United States of America,0.344,,no,no
14,Chile,0.41322314,0.769729065,0.766918518,0.76771312,0.688879759,0.65891219,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,0.41,0.77,0.77,0.77,0.69,0.66,0.62,0.254,,,,,,,
15,Chile,50,NA,NA,0.573506537,0.581906295,0.579802452,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,50,NA,NA,0.57,0.58,0.58,0.62,0.254,,,,,,,
16,Chile,37.5,NA,NA,0.55905875,0.580365495,0.580155579,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,37.5,NA,NA,0.56,0.58,0.58,0.62,0.254,,,,,,,
17,Chile,62.5,0.788878662,0.788878662,0.784981939,0.723467288,0.67553351,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,62.5,0.79,0.79,0.78,0.72,0.68,0.62,0.254,,,,,,,
18,Chile,25,NA,NA,0.506281787,0.540133476,0.553302085,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,25,NA,NA,0.51,0.54,0.55,0.62,0.254,,,,,,,
19,Chile,125,NA,NA,NA,NA,NA,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,125,NA,NA,NA,NA,NA,0.62,0.254,,,,,,,
20,Chile,12.5,0.643786682,0.643654968,0.655135697,0.712052568,0.649103096,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,12.5,0.64,0.64,0.66,0.71,0.65,0.62,0.254,,,,,,,
21,Chile,162.5,NA,NA,NA,NA,NA,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,162.5,NA,NA,NA,NA,NA,0.62,0.254,,,,,,,
