,scale,rho.x,p.x,rho.y,p.y,,,,,,,,,,
1,buffer_100k,0.22501643,0.162721038,0.133183712,0.412628551,,,,,,,,,,
2,buffer_10k,0.364233882,0.034196539,0.175211568,0.321621807,,,,,,,,,,
3,buffer_50k,0.250103776,0.135450548,0.083627095,0.622657177,,,,,,,,,,
4,country_suitability,0.25341887,0.075777216,-0.021720803,0.880983839,,,,,,,,,,
5,point_suitability,0.470839717,0.01318337,0.124158776,0.537224642,,,,,,,,,,
6,study_area_suitability,0.464275955,0.012815456,0.158167726,0.421474454,,,,,,,,,,
,,,,,,,,,,,,,,,
,Scale,Spearman's Coefficient,Spearman P,Pearson Coefficient,Pearson P,,Scale,Spearman's Coefficient,Spearman P,Pearson Coefficient,Pearson P,,,,
,Study Coordinates,0.470839717,0.01318337,0.124158776,0.537224642,,Study Coordinates,0.470839717,0.013,0.124158776,0.537,,Study Coordinates,,NA
,Study Area,0.464275955,0.012815456,0.158167726,0.421474454,,Study Area,0.464275955,0.013,0.158167726,0.421,,Study Area,,NA
,Study Country,0.25341887,0.075777216,-0.021720803,0.880983839,,Study Country,0.25341887,0.076,-0.021720803,0.881,,NA,,NA
,10km Buffer,0.364233882,0.034196539,0.175211568,0.321621807,,10km Buffer,0.364233882,0.034,0.175211568,0.322,,10km Buffer,,NA
,50km Buffer,0.250103776,0.135450548,0.083627095,0.622657177,,50km Buffer,0.250103776,0.135,0.083627095,0.623,,NA,,NA
,100km Buffer,0.22501643,0.162721038,0.133183712,0.412628551,,100km Buffer,0.22501643,0.163,0.133183712,0.413,,NA,,NA
